,shopping_frequency,tran_amount_max,tran_amount_mean,date_range_days
969,25,99,69.96,1236
5429,20,78,45.0,1063
4084,22,97,61.63636363636363,1302
5516,13,74,38.69230769230769,1348
5987,13,75,45.61538461538461,1233
4296,27,105,71.77777777777777,1284
3732,26,102,64.1923076923077,1121
2298,26,100,74.6923076923077,1368
5243,14,76,49.642857142857146,1275
5328,13,73,45.92307692307692,1172
2949,15,101,69.13333333333334,1292
4880,17,99,67.76470588235294,1232
1499,21,103,77.28571428571429,1292
2133,20,104,66.05,1255
252,27,105,69.03703703703704,1305
3805,20,102,69.6,1286
4454,26,104,66.96153846153847,1337
6869,9,79,50.333333333333336,980
4741,22,100,67.63636363636364,1290
3168,17,103,70.23529411764706,1289
2706,18,102,72.16666666666667,1212
4671,23,103,67.56521739130434,1363
4329,20,96,69.05,1323
5039,9,72,45.0,1266
3624,14,103,70.42857142857143,1145
5070,18,70,41.77777777777778,1249
6755,10,78,41.4,1364
3366,19,105,68.78947368421052,1381
641,18,104,65.55555555555556,1255
5653,10,70,41.0,917
6805,10,78,51.3,1321
3263,20,105,63.9,1381
297,24,96,61.0,1217
303,27,105,64.88888888888889,1279
6601,14,79,49.5,1200
3193,14,105,69.5,1321
5978,8,75,42.0,1180
3408,21,103,67.23809523809524,1318
6492,13,77,54.23076923076923,1254
2977,17,104,68.47058823529412,1298
655,26,105,64.38461538461539,1348
1557,30,99,65.1,1299
4370,23,105,76.43478260869566,1142
3994,20,105,74.6,1194
240,20,102,71.2,1297
783,19,102,71.42105263157895,1186
1354,16,104,64.375,1192
1018,26,105,71.26923076923077,1290
3439,14,100,71.92857142857143,1291
977,22,104,72.63636363636364,1262
809,26,105,77.34615384615384,1281
6598,14,78,41.57142857142857,1257
2239,20,99,68.5,1311
257,25,99,69.84,1325
893,24,96,69.25,1294
3096,17,105,65.58823529411765,1292
2302,28,105,75.17857142857143,1331
2338,23,103,73.47826086956522,1194
4984,19,103,72.94736842105263,1307
1643,30,105,66.1,1301
6552,16,72,49.9375,1221
5001,12,77,47.0,1354
2899,24,100,69.625,1361
6477,13,79,40.69230769230769,1003
1357,20,104,66.1,1336
6501,13,77,54.30769230769231,1301
1978,18,99,66.55555555555556,1189
3649,20,105,68.25,1245
4925,29,105,68.75862068965517,1381
2375,9,94,78.11111111111111,1046
3583,17,104,72.76470588235294,1116
4467,18,102,67.66666666666667,1142
3027,31,104,67.70967741935483,1219
